Вопрос,Варианты ответов,Правильный ответ
"1. Некоторые улитки являются горами. Все горы любят кошек. Следовательно, все улитки любят кошек.","а) правильно, б) не правильно.","б"
"2. Все крокодилы могут летать. Все великаны являются крокодилами. Следовательно, все великаны могут летать.","а) правильно, б) не правильно.","а"
"3. Некоторые кочаны капусты являются паровозами. Некоторые паровозы играют на рояле. Следовательно, некоторые кочаны капусты играют на рояле.","а) правильно,  б) не правильно.","б"
"4. Две рощи никогда не похожи друг на друга. Сосны и ели выглядят совершенно одинаково. Следовательно, сосны и ели не являются двумя рощами.","а) правильно, б) не правильно.","а"
"5. Никто не может стать президентом, если у него красный нос. У всех людей нос красный. Следовательно, никто не может быть президентом.","а) правильно, б) не правильно.","а"
"6. Все вороны собирают картины. Некоторые собиратели картин сидят в птичьей клетке. Следовательно, некоторые вороны сидят в птичьей клетке.","а) правильно, б) не правильно.","б"
"7. Только плохие люди обманывают или крадут. Екатерина — хорошая.","а) Екатерина обманывает. б) Екатерина крадет. в) Екатерина не крадет. г) Екатерина обманывает и крадет. д) Екатерина не обманывает. е) Все умозаключения не правильны.","е"
"8. Все воробьи не умеют летать. У всех воробьев есть ноги.","а) Воробьи без ног могут летать. б) Некоторые воробьи не имеют ног. в) Все воробьи, у которых есть ноги — не могут летать. г) Воробьи не умеют летать, потому что у них есть ноги. д) Воробьи не умеют летать, и у них нет ног.","в"
"9. Некоторые люди — европейцы. Европейцы — трёхноги.","а) У некоторых людей три ноги. б) Европейцы, являющиеся людьми, иногда трёхноги. в) Люди с двумя ногами — не являются европейцами. г) Европейцы — это люди с тремя ногами. д) Европейцы с двумя ногами иногда являются людьми.","авг"
"10. Цветы — это зелёные животные. Цветы пьют водку.","а) Все зелёные животные пьют водку. б) Все зелёные животные являются цветами. в) Некоторые зелёные животные пьют водку. г) Цветы, которые пьют водку, являются зелёными животными. д) Зелёные животные не являются цветами.","вг"
"11. Каждый квадрат круглый. Все квадраты красные.","а) Бывают квадраты с красными углами. б) Бывают квадраты с круглыми углами. в) Бывают круглые красные углы. г) Углы и квадраты круглые и красные. д) У красных квадратов круглые углы. е) Все умозаключения не правильны.","е"
"12. Хорошие начальники падают с неба. Плохие начальники могут петь.","а) Плохие начальники летят с неба вниз. б) Хорошие начальники, которые умеют летать — могут петь. в) Некоторые плохие начальники не могут петь. г) Некоторые хорошие начальники плохи, так как они умеют петь. д) Плохие начальники не падают с неба. е) Все умозаключения не правильны.","е"
